"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 20 19:36:35 CST 2023","Mon Feb 20 19:36:35 CST 2023","101","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[产品已删除-551-1-500-004-不合法]",""
"passed","Mon Feb 20 19:36:35 CST 2023","Mon Feb 20 19:36:35 CST 2023","102","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[num超过库存-541-999999999-500-451-商品库存已不足，不能购买。]",""
"passed","Mon Feb 20 19:36:36 CST 2023","Mon Feb 20 19:36:36 CST 2023","184","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[num为0-541-0-400-004-购买数量必须大于0]",""
"passed","Mon Feb 20 19:36:35 CST 2023","Mon Feb 20 19:36:36 CST 2023","173","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[num为负数-541--1-400-004-购买数量必须大于0]",""
"passed","Mon Feb 20 19:36:35 CST 2023","Mon Feb 20 19:36:35 CST 2023","103","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[sku_id 不存在-4882626-1-500-004-不合法]",""
"failed","Mon Feb 20 19:36:35 CST 2023","Mon Feb 20 19:36:35 CST 2023","186","testcase.buyer","test_001_buy_now","TestBuyNowApi","","","test_buy_now_exception[产品已下架-542-1-500-004-不合法]",""
